"site","S","ELE","MAT","TSE","MAP","PSE","NPP","SOC","AET","PET","EHM","TRI","WDF"
"All",547,1700,15.2999999523163,582.181251525879,1736.44373321533,95.9124994277954,1871.31251525879,572.039024390244,874.4,1553.06666666667,3179.8,34.0041666666667,678.666666666667
"All",537,1800,14.6699999809265,583.350006103516,1767.43002929688,95.7100006103516,1818.06002197266,579.040201005025,863.1,1544.3,3532.1,30.58125,681.2
"All",514,1900,13.9590908830816,585.004552667791,1759.43637362393,95.8363633589311,1756.99545010653,587.328205128205,847.95652173913,1531,3377.26086956522,33.4184782608696,683.04347826087
"All",497,2000,13.2029412213494,583.01177260455,1886.00586655561,95.2176473280963,1691.01175465303,596.30985915493,835.866666666667,1506.2,3400,30.375,670.333333333333
"All",481,2100,12.7300000190735,576.759997558594,2031.52998046875,96.3299995422363,1649.3,616.189054726368,826.7,1501.1,3679.2,28.225,674.4
"All",462,2200,12.1749999523163,557.583333333333,2454.61663818359,96.2749996185303,1600.19166056315,681.883561643836,828.769230769231,1447.46153846154,3473.46153846154,34.4086538461538,618.692307692308
"All",446,2300,11.7166667514377,558.355556911892,2431.1555718316,95.9222225613064,1559.42220052083,763.135135135135,826.777777777778,1419.66666666667,3477.33333333333,37.8541666666667,592.888888888889
"All",403,2400,10.9285713604518,557.300000871931,2457.93570382254,93.6785708836147,1489.12142508371,807.575,825.846153846154,1399.53846153846,3641,37.7692307692308,573.692307692308
"All",369,2500,10.2888889842563,558.411105685764,2449.40001085069,94.5555551317003,1432.08889431424,854.75,815.333333333333,1390.80952380952,3502.85714285714,37.0476190476191,575.47619047619
"All",339,2600,9.57857136499314,558.847624279204,2390.43331473214,90.2238093784877,1368.99525669643,890.132231404959,807.736842105263,1380.42105263158,4487.78947368421,36.4078947368421,572.684210526316
"All",307,2700,8.94375002384186,558.356250762939,2434.86250305176,92.6500000953674,1313.02498626709,938.004098360656,797,1366.15789473684,4191.42105263158,33.6710526315789,569.157894736842
"All",278,2800,8.16071426868439,557.939287458147,2456.32857840402,91.0285723549979,1244.66428484235,967.502145922747,786.923076923077,1349.80769230769,4371.53846153846,37.3581730769231,562.884615384615
"All",246,2900,7.56428572109767,557.185716901507,2466.61427525112,91.5928568158831,1193.32141113281,981.258474576271,779.6,1336.8,4479.73333333333,36.925,557.2
"All",219,3000,6.83500003814697,558.519998168945,2494.55496826172,91.7900005340576,1131.52997436523,994.467005076142,768.611111111111,1323.94444444444,4982.61111111111,32.53125,555.333333333333
"All",194,3100,6.16818180951205,556.327276056463,2482.83638139205,90.0363637750799,1076.17272949219,1022.05208333333,759.666666666667,1314.25,4059.08333333333,35.65625,554.583333333333
"All",157,3200,5.45624995231628,557.975006103516,2537.54998779297,90.7187509536743,1018.4125213623,1040.22727272727,749.625,1297.375,4175.375,32.390625,547.75
"All",138,3300,4.93571431296212,553.84286063058,2545.5,91.3714283534459,977.228567940848,1008.37037037037,741.857142857143,1280.71428571429,3261.42857142857,34.0357142857143,538.857142857143
"All",110,3400,3.91666658719381,552.133321126302,2541.80004882812,90.9333318074544,899.199991861979,1008.14,724.666666666667,1271,2858.66666666667,39.3541666666667,546.333333333333
